"location_id";"state";"district";"market"
"dc856f189869c1ecc379fc917a1434d7";"UNKNOWN";"PANCHKULA";"BARWALA"
"eecedfc8dc7ae870174c06c68291bb55";"UTTAR PRADESH";"BAHRAICH";"NAANPARA"
"2fbada0590f80816ac081b7ba9dc45a0";"MADHYA PRADESH";"DHAR";"DHAR(F&V)"
"07a06d9f5f58b1807c4e9f2d45d88bfa";"KARNATAKA";"CHIKMAGALUR";"CHIKKAMAGALORE"
"791e67a6bf5d7d251c97ab8c3e1b465e";"WEST BENGAL";"PURULIYA";"BALARAMPUR"
"81d13656dd48e68d797364b36df27aab";"RAJASTHAN";"GANGANAGAR";"GAJSINGHPUR"
"e4f530545a6f29b7c7dd13d24105ad8a";"HARYANA";"UNKNOWN";"DHAND"
"6037a5a04498d00c42da890c2c9ebee8";"UNKNOWN";"SANGRUR";"UNKNOWN"
"0d9e8c16ac8a7d858a84e1678d12bf63";"HARYANA";"FATEHABAD";"JAKHAL"
"4720e513e0064be7fa8861590d52d494";"RAJASTHAN";"UNKNOWN";"JALORE"
"bafde9d1cbc3e95e5fb65c5d5cf65169";"UNKNOWN";"UNNAO";"PURWA"
"81e3e5c65be07b56df53a98527a88078";"ASSAM";"LAKHIMPUR";"GOLAGOKARNATH"
"398bf795c5bfbee518893707ccf75c6b";"MADHYA PRADESH";"HARDA";"KHIRAKIYA"
"fac87f659ea8a5a096ec72c857ba4be4";"MADHYA PRADESH";"SHIVPURI";"SHIVPURI"
"37a8f1e7b4697586a8ea286ee81ae5e9";"MAHARASHTRA";"UNKNOWN";"JAMKHED"
"408632ea66a5fdf3bdf8b566e33c077e";"MAHARASHTRA";"UNKNOWN";"PUNE"
"4f102dd6e91f37eeb4d2ffe24a9cf5cf";"UNKNOWN";"UNKNOWN";"ELLANABAD"
"abf897be4515128c8295fd1bc6ba58cc";"MADHYA PRADESH";"JHABUA";"PETLAWAD"
"35379df7957c0269c8032fb579193e17";"UNKNOWN";"HOWRAH";"UNKNOWN"
"a3d4ffc6709ec8b10cbd57d49bb19d28";"JAMMU AND KASHMIR";"ANANTNAG";"KULGAM"
"3b792fe6c1d29faa8f92e7faab996ce7";"UTTAR PRADESH";"MIRZAPUR";"MIRZAPUR"
"b5eb65a603f4636aa69dc69655ef0244";"RAJASTHAN";"JODHPUR";"JODHPUR (F&V)"
"1be7b6e5fcde05207b542d33204b957a";"NAN";"UNKNOWN";"MHOW"
"84c9bbbee6788a44c60f91f9ede0bcd4";"UTTAR PRADESH";"BAREILLY";"ANWALA"
"2e90dd4107d0a4aec8104540253f84cf";"UTTAR PRADESH";"AMETHI";"JAFARGANJ"
"863d7d6ed6675b3410c927ad605ec009";"KARNATAKA";"CHIKMAGALUR";"BAGEPALLI"
"e78fd25e5cd32361a7846730a0dc23c0";"UNKNOWN";"DHAR";"BADNAWAR(F&V)"
"3202a100c50bd84ee932584866825e03";"GUJARAT";"UNKNOWN";"AHMEDABAD"
"c636745c69fc12a88e9913bb68472f57";"HARYANA";"UNKNOWN";"SHAHABAD"
